Title,genres,Director,Actors
Voyage to the Beginning of the World,Drama,Manoel de Oliveira,"Marcello Mastroianni, Jean-Yves Gautier, Leonor Silveira, Diogo Dória"
East Palace West Palace,Drama,Yuan Zhang,"Si Han, Jun Hu, Jing Ye, Wei Zhao"
Uninvited Guest,Drama,Timothy Wayne Folsome,"Mekhi Phifer, Mari Morrow, Malinda Williams, Mel Jackson"
Fading Gigolo,Comedy,John Turturro,"John Turturro, Woody Allen, Vanessa Paradis, Liev Schreiber"
Valley Uprising,Documentary,"Peter Mortimer, Nick Rosen, Josh Lowell(co-director)","Peter Sarsgaard, Alex Honnold, Yvon Chouinard, Royal Robbins"
"What Happened, Miss Simone?",Documentary,Liz Garbus,"Nina Simone, Lisa Simone Kelly, Roger Nupie, Al Schackman"
Keith Richards: Under the Influence,Documentary,Morgan Neville,"Steve Jordan, Keith Richards, Waddy Wachtel, Tom Waits"
Botched,Comedy|Crime|Horror|Thriller,Kit Ryan,"David Heap, Alan Smyth, Stephen Dorff, Sean Pertwee"
Motocrossed,Action|Children|Comedy|Romance,Steve Boyum,"Alana Austin, Riley Smith, Mary-Margaret Humes, Trever O'Brien"
Udaan,Drama,Vikramaditya Motwane,"Rajat Barmecha, Sanjay Gandhi, Ronit Roy, Manjot Singh"
One Piece Film Z,Action|Adventure|Animation|Fantasy,Tatsuya Nagamine,"Mayumi Tanaka, Kazuya Nakai, Akemi Okamura, Kappei Yamaguchi"
The Blue Elephant,Drama|Horror|Mystery|Thriller,Marwan Hamed,"Karim Abdel Aziz, Khaled El Sawy, Nelly Karim, Mohamed Mamdouh"
The Great Hypnotist,Drama|Mystery|Thriller,Leste Chen,"Jing Hu, Zhong Lü, Karen Mok, David Yao-Qing Wang"
Stranded,Drama|Sci-Fi,Roger Christian,"Christian Slater, Amy Matysio, Michael Therriault, Brendan Fehr"
Creation,Drama,Jon Amiel,"Paul Bettany, Ian Kelly, Guy Henry, Martha West"
Molière,Comedy|Drama|Romance,Laurent Tirard,"Romain Duris, Fabrice Luchini, Laura Morante, Edouard Baer"
Bang Bang,Action|Adventure|Romance|Thriller,Siddharth Anand,"Hrithik Roshan, Katrina Kaif, Pavan Malhotra, Danny Denzongpa"
John Mulaney: The Comeback Kid,Comedy,Rhys Thomas,"Petunia, John Mulaney, Amanda Walsh"
Papadopoulos & Sons,Comedy|Drama,Marcus Markou,"Carl Rice, Stephen Dillane, Selina Cadell, Frank Dillane"
Sassy Pants,Comedy|Drama,Coley Sohn,"Anna Gunn, Ashley Rickards, Martin Spanjers, Drew Droege"
Supporting Characters,Comedy|Romance,Daniel Schechter,"Alex Karpovsky, Tarik Lowe, Arielle Kebbel, Sophia Takal"
Red Flag,Comedy|Drama|Romance,Alex Karpovsky,"Dustin Guy Defa, Alex Karpovsky, Keith Poulson, Jennifer Prediger"
Côte d'Azur,Comedy|Musical|Romance,"Olivier Ducastel(co-director), Jacques Martineau(co-director)","Valeria Bruni Tedeschi, Gilbert Melki, Jean-Marc Barr, Jacques Bonnaffé"
Grande école,Drama,Robert Salis,"Grégori Baquet, Alice Taglioni, Jocelyn Quivrin, Élodie Navarre"
Joe Dirt 2: Beautiful Loser,Comedy,Fred Wolf,"David Spade, Brittany Daniel, Patrick Warburton, Mark McGrath"
Little Sister,Comedy,Zach Clark,"Addison Timlin, Ally Sheedy, Keith Poulson, Peter Hedges"
Miles Ahead,Drama,Don Cheadle,"Don Cheadle, Ewan McGregor, Emayatzy Corinealdi, LaKeith Stanfield"
In Praise of Love,Drama,Jean-Luc Godard,"Bruno Putzulu, Cécile Camp, Jean Davy, Françoise Verny"
Sita Sings the Blues,Animation|Musical,Nina Paley,"Annette Hanshaw, Aseem Chhabra, Bhavana Nagulapally, Manish Acharya"
Curb Dance,(no genres listed),Harmony Korine,Harmony Korine
Act Da Fool,(no genres listed),Harmony Korine,"Michelrica Hughes, Miileah Morrison, Elizabeth Smith, Kiara Smith"
Save the Date,Comedy|Romance,Michael Mohan,"Lizzy Caplan, Alison Brie, Martin Starr, Geoffrey Arend"
Princess,Action|Animation|Drama,Anders Morgenthaler,"Thure Lindhardt, Stine Fischer Christensen, Jens Arentzen, Rasmus Bjerg"
A.C.O.D.,Comedy,Stuart Zicherman,"Adam Scott, Richard Jenkins, Catherine O'Hara, Amy Poehler"
Louder Than Words,Drama,Anthony Fabian,"Timothy Hutton, Adelaide Kane, Hope Davis, David Duchovny"
Carolina,Comedy|Romance,Marleen Gorris,"Julia Stiles, Shirley MacLaine, Alessandro Nivola, Randy Quaid"
Better Living Through Circuitry,Documentary,Jon Reiss,"Moby, Lord T. Byron, McGuinnes, Lady Galore"
Love Hina Christmas Special: Silent Eve,Animation|Comedy|Romance,Yoshiaki Iwasaki,"Ken Akamatsu, Yu Asakawa, Steve Blum, Steve Cassling"
Love Hina Spring Special,Animation|Comedy|Musical|Romance,Yoshiaki Iwasaki,"Yûji Ueda, Yui Horie, Masayo Kurata, Yu Asakawa"
Pale Cocoon,Animation|Sci-Fi,Yasuhiro Yoshiura,"Minako Kawashima, Nakao Michiosu, Hiroka Oyama, Yasuhiro Yoshiura"
009 Re: Cyborg,Action|Animation|Sci-Fi,Kenji Kamiyama,"Chiwa Saitô, Daisuke Ono, Hiroyuki Yoshino, Mamoru Miyano"
Cardcaptor Sakura: The Sealed Card,Adventure|Animation|Comedy|Fantasy|Romance,Morio Asaka,"Sakura Tange, Motoko Kumai, Aya Hisakawa, Masaya Onosaka"
Kite,Action|Animation|Crime|Thriller,Ralph Ziman,"India Eisley, Jaco Muller, Annabel Linder, Christina Storm"
Chance Pe Dance,Comedy|Drama|Romance,Ken Ghosh,"Shahid Kapoor, Genelia D'Souza, Mohnish Bahl, Satish Shah"
Agent Vinod,Action,Sriram Raghavan,"Saif Ali Khan, Kareena Kapoor, Adil Hussain, Ravi Kishan"
Dabangg 2,Action|Comedy|Drama|Musical|Romance,Arbaaz Khan,"Salman Khan, Sonakshi Sinha, Prakash Raj, Vinod Khanna"
Highway,Crime|Drama|Romance,Imtiaz Ali,"Alia Bhatt, Randeep Hooda, Durgesh Kumar, Pradeep Nagar"
Jab Tak Hai Jaan,Drama|Romance,Yash Chopra,"Shah Rukh Khan, Anupam Kher, Katrina Kaif, Anushka Sharma"
Mere Brother Ki Dulhan,Comedy|Drama|Romance,Ali Abbas Zafar,"Imran Khan, Katrina Kaif, Ali Zafar, Tara D'Souza"
Baadshah,Action|Comedy,"Abbas Alibhai Burmawalla, Mastan Alibhai Burmawalla","Shah Rukh Khan, Twinkle Khanna, Amrish Puri, Johnny Lever"
Golmaal,Children|Comedy,Ramachandra Rao P.N.,"Ramesh Aravind, Giri Babu, Raghu Babu, Navbharath Balaji"
Amazing Journey: The Story of The Who,Documentary,"Paul Crowder, Murray Lerner, Parris Patton","Roger Daltrey, Pete Townshend, John Entwistle, Keith Moon"
Long Night's Journey Into Day,Documentary,"Deborah Hoffmann, Frances Reid","Mary Burton, Pumla Gobodo-Madikizela, Mongezi Manqina, Thapelo Mbelo"
"Peace, Love & Misunderstanding",Drama|Romance,Bruce Beresford,"Kyle MacLachlan, Catherine Keener, Joseph Dunn, Ann Osmond"
Yossi,Drama|Romance,Eytan Fox,"Ohad Knoller, Oz Zehavi, Lior Ashkenazi, Orly Silbersatz"
Jamie and Jessie Are Not Together,Comedy|Musical|Romance,Wendy Jo Carlton,"Jax Jackson, Jessica London-Shields, Fawzia Mirza, Marika Engelhardt"
Take My Eyes,Drama|Romance|Thriller,Icíar Bollaín,"Laia Marull, Luis Tosar, Candela Peña, Rosa Maria Sardà"
Hateship Loveship,Drama,Liza Johnson,"Kristen Wiig, Guy Pearce, Hailee Steinfeld, Jennifer Jason Leigh"
For the Bible Tells Me So,Documentary,Daniel G. Karslake,"Imogene Robinson, Victor Robinson, Gene Robinson, Isabella 'Boo' McDaniel"
Achilles and the Tortoise,Comedy,Takeshi Kitano,"Takeshi Kitano, Kanako Higuchi, Kumiko Asô, Aya Enjôji"
The Unknown Girl,Crime|Drama|Thriller,"Jean-Pierre Dardenne, Luc Dardenne","Adèle Haenel, Olivier Bonnaud, Jérémie Renier, Louka Minnella"
Beyond the Black Rainbow,Mystery|Sci-Fi,Panos Cosmatos,"Michael J Rogers, Eva Bourne, Scott Hylands, Rondel Reynoldson"
London Road,Adventure|Mystery|Thriller,Rufus Norris,"Olivia Colman, Clare Burt, Rosalie Craig, Anita Dobson"
Mulholland Dr.,Drama|Mystery|Romance,David Lynch,"Justin Theroux, Naomi Watts, Laura Harring, Ann Miller"
Sade,Crime|Drama,Benoît Jacquot,"Daniel Auteuil, Marianne Denicourt, Jeanne Balibar, Grégoire Colin"
Restraint,Drama|Thriller,David Denneen,"Travis Fimmel, Teresa Palmer, Stephen Moyer, Phillip Holder"
Restless,Drama|Romance,Gus Van Sant,"Henry Hopper, Mia Wasikowska, Ryo Kase, Schuyler Fisk"
Generation P,Comedy|Drama|Sci-Fi,Victor Ginzburg,"Vladimir Epifantsev, Mikhail Efremov, Andrey Fomin, Sergey Shnurov"
Gun Woman,Action|Thriller,Kurando Mitsutake,"Jennifer Mullaney, Matthew Floyd Miller, Dean Simone, Noriaki Kamata"
Garden of Love,Horror,Olaf Ittenbach,"Natacza Boon, James Matthews-Pyecka, Daryl Jackson, Bela B."
Peep World,Comedy,Barry W. Blaustein,"Lewis Black, Ron Rifkin, Rainn Wilson, Taraji P. Henson"
Struck by Lightning,Comedy|Drama,Brian Dannelly,"Rebel Wilson, Chris Colfer, Allison Janney, Scott Bailey"
Lust for Love,Comedy|Romance,Anton King,"Fran Kranz, Dichen Lachman, Beau Garrett, Caitlin Stasey"
Very Annie Mary,Comedy|Musical,Sara Sugarman,"Rachel Griffiths, Jonathan Pryce, Ioan Gruffudd, Matthew Rhys"
Born Romantic,Comedy|Drama|Romance,David Kane,"Craig Ferguson, Ian Hart, Jane Horrocks, Adrian Lester"
Billy Bathgate,Crime|Drama,Robert Benton,"Dustin Hoffman, Nicole Kidman, Loren Dean, Bruce Willis"
Reality,Comedy,Matteo Garrone,"Aniello Arena, Loredana Simioli, Nando Paone, Nello Iorio"
Foolish,Comedy,Dave Meyers,"Eddie Griffin, Master P, Amie Petersen, Frank Sivero"
44 Minutes: The North Hollywood Shoot-Out,Action|Crime,Yves Simoneau,"Michael Madsen, Ron Livingston, Ray Baker, Douglas Spain"
Voyager,Drama,Volker Schlöndorff,"Sam Shepard, Julie Delpy, Barbara Sukowa, Dieter Kirchlechner"
Tabu,Drama|Romance,Miguel Gomes,"Telmo Churro, Miguel Gomes, Hortêncílio Aquina, Américo Mota"
13th,Documentary,Ava DuVernay,"Melina Abdullah, Michelle Alexander, Cory Booker, Dolores Canales"
The Apostate,Comedy|Drama,Federico Veiroj,"Álvaro Ogalla, Marta Larralde, Bárbara Lennie, Vicky Peña"
All-Star Superman,Action|Adventure|Animation|Sci-Fi,Sam Liu,"James Denton, Christina Hendricks, Anthony LaPaglia, Edward Asner"
Superman vs. The Elite,Action|Animation,Michael Chang,"George Newbern, Pauley Perrette, Robin Atkin Downes, Dee Bradley Baker"
The Batman vs. Dracula,Action|Animation|Horror|Thriller,"Michael Goguen, Seung Eun Kim, Sam Liu, Brandon Vietti","Rino Romano, Peter Stormare, Tara Strong, Tom Kenny"
Hoot,Children|Comedy,Wil Shriner,"Luke Wilson, Logan Lerman, Brie Larson, Tim Blake Nelson"
We Have a Pope,Comedy|Drama,Nanni Moretti,"Michel Piccoli, Jerzy Stuhr, Renato Scarpa, Franco Graziosi"
Happy,Documentary|Drama,Roko Belic,"Marci Shimoff, Ed Diener, Richard Davidson, Mihaly Csikszentmihalyi"
Federal Hill,Drama,Michael Corrente,"Nicholas Turturro, Anthony DeSando, Libby Langdon, Michael Raynor"
Kill Me Three Times,Thriller,Kriv Stenders,"Simon Pegg, Steve Le Marquand, Alice Braga, Teresa Palmer"
Riders,Action|Crime|Thriller,Gabrielle Beaumont,"Marcus Gilbert, Michael Praed, Arabella Holzbog, Caroline Harker"
Fasten Your Seatbelts,Comedy|Drama,Ferzan Ozpetek,"Kasia Smutniak, Francesco Arca, Filippo Scicchitano, Carolina Crescentini"
Today's Special,Comedy,David Kaplan,"Dean Winters, Jess Weixler, Aarti Mann, Aasif Mandvi"
Bury My Heart at Wounded Knee,Drama|Western,Yves Simoneau,"Anna Paquin, Chevez Ezaneh, August Schellenberg, Duane Howard"
The Dinner,Drama|Mystery|Thriller,Oren Moverman,"Michael Chernus, Taylor Rae Almonte, Steve Coogan, Charlie Plummer"
World Builder,(no genres listed),Bruce Branit,"Erin McGrane, Brian Paulette"
Sea Monsters: A Prehistoric Adventure,Documentary,Sean MacLeod Phillips,"Jerry Hoffman, Liev Schreiber, Jennifer Aguilar, Michael Ashcraft"
Nightmare City 2035,Sci-Fi,Terence H. Winkless,"Maxwell Caulfield, Alexis Thorpe, Todd Jensen, Stefan Ivanov"
Miss Violence,Drama|Mystery,Alexandros Avranas,"Themis Panou, Reni Pittaki, Eleni Roussinou, Sissy Toumasi"
Our Family Wedding,Comedy,Rick Famuyiwa,"Forest Whitaker, America Ferrera, Carlos Mencia, Regina King"
Magic Man,Crime|Mystery|Thriller,Stuart Cooper,"Billy Zane, Alexander Nevsky, Robert Davi, Bai Ling"
The Discovery,Drama|Romance|Sci-Fi,Charlie McDowell,"Robert Redford, Mary Steenburgen, Brian McCarthy, Jason Segel"
Bad Kids of Crestview Academy,Comedy|Fantasy|Mystery|Sci-Fi|Thriller,Ben Browder,"Sammi Hanratty, Colby Arps, Sophia Ali, Erika Daly"
The Waiting,Thriller,Fabián Bielinsky,"Guillermo Battaglia, Héctor Bidonde, Marta Serrano"
In This World,Adventure|Drama,Michael Winterbottom,"Jamal Udin Torabi, Enayatullah, Imran Paracha, Hiddayatullah"
Zenon: Girl of the 21st Century,Adventure|Children|Comedy,Kenneth Johnson,"Kirsten Storms, Raven-Symoné, Stuart Pankin, Holly Fulger"
Wendy Wu: Homecoming Warrior,Action|Adventure|Children,John Laing,"Brenda Song, Shin Koyamada, Susan Chuang, Justin Chon"
The Cheetah Girls,Children|Comedy|Drama,Oz Scott,"Raven-Symoné, Adrienne Houghton, Kiely Williams, Sabrina Bryan"
Diary of a Wimpy Kid: The Long Haul,Children|Comedy,David Bowers,"Jason Drucker, Alicia Silverstone, Tom Everett Scott, Charlie Wright"
Descendants 2,Action|Adventure|Children|Comedy,Kenny Ortega,"Dove Cameron, Cameron Boyce, Sofia Carson, Booboo Stewart"
"Farewell, My Queen",Drama|Romance,Benoît Jacquot,"Léa Seydoux, Diane Kruger, Virginie Ledoyen, Noémie Lvovsky"
Every Thing Will Be Fine,Drama,Wim Wenders,"James Franco, Peter Miller, Gilbert Wahiakeron, Claude Chamberlain"
Dear Prudence,Drama,Rebecca Zlotowski,"Léa Seydoux, Anaïs Demoustier, Agathe Schlenker, Johan Libéreau"
You and the Night,Comedy|Drama|Romance,Yann Gonzalez,"Kate Moran, Niels Schneider, Nicolas Maury, Eric Cantona"
To End All Wars,Action|Drama|War,David L. Cunningham,"Ciarán McMenamin, Robert Carlyle, Kiefer Sutherland, Mark Strong"
Dirty Sanchez: The Movie,Comedy,Jim Hickey,"Matthew Pritchard, Lee Dainton, Mike Locke, Dan Joyce"
All Eyez on Me,Drama,Benny Boom,"Demetrius Shipp Jr., Danai Gurira, Kat Graham, Hill Harper"
Unlocked,Action|Thriller,Michael Apted,"Noomi Rapace, Orlando Bloom, Toni Collette, John Malkovich"
U2 3D,Documentary|IMAX,"Catherine Owens, Mark Pellington","Bono, Adam Clayton, The Edge, Larry Mullen Jr."
What Doesn't Kill You,Crime|Drama,Brian Goodman,"Mark Ruffalo, Ethan Hawke, Amanda Peet, Will Lyman"
Next Day Air,Action|Comedy|Crime,Benny Boom,"Donald Faison, Mike Epps, Wood Harris, Omari Hardwick"
Our Brand Is Crisis,Comedy|Drama,David Gordon Green,"Sandra Bullock, Billy Bob Thornton, Anthony Mackie, Joaquim de Almeida"
Bright Future,Drama,Kiyoshi Kurosawa,"Joe Odagiri, Tadanobu Asano, Tatsuya Fuji, Takashi Sasano"
Electric Dragon 80.000 V,Drama|Fantasy|Sci-Fi,Gakuryû Ishii,"Yoshiki Arizono, Tadanobu Asano, Masakatsu Funaki, Masatoshi Nagase"
Shark Skin Man and Peach Hip Girl,Action|Comedy|Mystery|Thriller,Katsuhito Ishii,"Tadanobu Asano, Ittoku Kishibe, Sie Kohinata, Kimie Shingyôji"
Vital,Thriller,Shin'ya Tsukamoto,"Tadanobu Asano, Nami Tsukamoto, Kiki, Kazuyoshi Kushida"
Invisible Waves,Adventure|Crime|Drama,Pen-Ek Ratanaruang,"Tadanobu Asano, Hye-jeong Kang, Eric Tsang, Maria Cordero"
Café Lumière,Drama,Hsiao-Hsien Hou,"Yo Hitoto, Tadanobu Asano, Masato Hagiwara, Kimiko Yo"
Cthulhu,Drama|Thriller,Dan Gildark,"Jason Cottle, Casey Curran, Ethan Atkinson, Patrick McKnight"
Rainy Dog,Crime|Drama,Takashi Miike,"Shô Aikawa, Li Wei Chang, Shih Chang, Xianmei Chen"
Too Many Ways to Be No. 1,Action|Comedy|Crime,Ka-Fai Wai,"Ching Wan Lau, Carman Lee, Francis Ng, Ruby Wong"
Party 7,Action|Comedy,Katsuhito Ishii,"Masatoshi Nagase, Keisuke Horibe, Yoshinori Okada, Akemi Kobayashi"
Woman of Water,(no genres listed),Hidenori Sugimori,"Ua, Tadanobu Asano, Hikaru, Yutaka Enatsu"
Labyrinth of Dreams,(no genres listed),Gakuryû Ishii,"Rena Komine, Tadanobu Asano, Kotomi Kyôno, Tomoka Kurotani"
Crazy Kind of Love,Comedy|Drama|Romance,Sarah Siegel-Magness,"Virginia Madsen, Graham Rogers, Amanda Crew, Zach Gilford"
Pulling Strings,Comedy|Romance,Pitipol Ybarra,"Jaime Camil, Laura Ramsey, Omar Chaparro, Aurora Papile"
The Noble Family,Comedy,Gary Alazraki,"Gonzalo Vega, Luis Gerardo Méndez, Karla Souza, Juan Pablo Gil"
Rerouting,(no genres listed),Paul Costen,"Aj Friday, Brooke Lawsing, Shairee Perez"
Hellboy Animated: Sword of Storms,Action|Animation|Fantasy|Sci-Fi|Thriller,"Phil Weinstein, Tad Stones","Ron Perlman, Selma Blair, Doug Jones, Peri Gilpin"
Bitter Lake,Documentary,Adam Curtis,"George Bush, George W. Bush, Joanne Herring, Hamid Karzai"
Peacock,Thriller,Michael Lander,"Cillian Murphy, Ellen Page, Susan Sarandon, Josh Lucas"
Genova,Drama|Romance,F. Nagoor,"M.G. Ramachandran, P.S. Veerappa"
Page Eight,Drama|Thriller,David Hare,"Bill Nighy, Rachel Weisz, Tom Hughes, Michael Gambon"
Patience,Documentary,Dave Heather,"Donald Adams, Derek Hammond-Stroud, John Fryatt, Sandra Dugdale"
Cuban Fury,Comedy,James Griffiths,"Ben Radcliffe, Ian McShane, Isabella Steinbarth, Brandon Robinson"
Salting the Battlefield,Drama|Mystery|Thriller,David Hare,"Ralph Fiennes, Shazad Latif, Felicity Jones, James McArdle"
Love Is Strange,Drama,Ira Sachs,"Alfred Molina, John Lithgow, Darren E. Burrows, Charlie Tahan"
Closer to the Moon,Comedy|Drama,Nae Caranfil,"Vera Farmiga, Mark Strong, Harry Lloyd, Anton Lesser"
National Gallery,Documentary,Frederick Wiseman,"Leanne Benjamin, Kausikan Rajeshkumar, Jo Shapcott, Edward Watson"
Exhibition,Drama,Joanna Hogg,"Viv Albertine, Liam Gillick, Tom Hiddleston, Harry Kershaw"
In the Mix,Comedy|Crime|Romance,Ron Underwood,"Usher Raymond, Chazz Palminteri, Emmanuelle Chriqui, Robert Costanzo"
Right at Your Door,Drama|Thriller,Chris Gorak,"Mary McCormack, Rory Cochrane, Tony Perez, Scotty Noyd Jr."
How I Ended This Summer,Drama,Aleksey Popogrebskiy,"Grigoriy Dobrygin, Sergey Puskepalis, Igor Chernevich, Artyom Tsukanov"
No Impact Man: The Documentary,Documentary,"Laura Gabbert, Justin Schein","Colin Beavan, Michelle Conlin"
Butter,Comedy,Jim Field Smith,"Jennifer Garner, Ty Burrell, Garrett Schenck, Kristen Schaal"
Heaven's Burning,Action|Drama,Craig Lahiff,"Russell Crowe, Yûki Kudô, Kenji Isomura, Ray Barrett"
The Phantom of the Opera,Drama|Mystery|Romance|Thriller,Joel Schumacher,"Gerard Butler, Emmy Rossum, Patrick Wilson, Miranda Richardson"
Speedway Junky,Drama,Nickolas Perry,"Jesse Bradford, Jordan Brower, Jonathan Taylor Thomas, Daryl Hannah"
Parkland,Drama,Peter Landesman,"Marcia Gay Harden, Matt Barr, Zac Efron, Mallory Moye"
St. Giuseppe Moscati: Doctor to the Poor,(no genres listed),Giacomo Campiotti,"Beppe Fiorello, Kasia Smutniak, Ettore Bassi, Emanuela Grimalda"
Lucky Trouble,Comedy|Romance,Levan Gabriadze,"Konstantin Khabenskiy, Milla Jovovich, Ivan Urgant, Sergey Garmash"
Cool Kids Don't Cry,Children|Drama|Romance,Dennis Bots,"Hanna Obbeek, Nils Verkooijen, Fiona Livingston, Bram Flick"
Strapped,Drama,Joseph Graham,"Benjamin Bonenfant, Nick Frangione, Artem Mishin, Michael Carlisi"
"Car 54, Where Are You?",Comedy,Bill Fishman,"David Johansen, John C. McGinley, Fran Drescher, Nipsey Russell"
Switch,Comedy|Crime|Fantasy,Blake Edwards,"Ellen Barkin, Jimmy Smits, JoBeth Williams, Lorraine Bracco"
The Road Within,Comedy|Drama,Gren Wells,"Robert Sheehan, Zoë Kravitz, Dev Patel, Robert Patrick"
Smashed,Comedy|Drama,James Ponsoldt,"Mary Elizabeth Winstead, Aaron Paul, Nick Offerman, Megan Mullally"
Last Train Home,Documentary|Drama,Lixin Fan,"Changhua Zhang, Suqin Chen, Qin Zhang, Yang Zhang"
Dragon Tiger Gate,Action|Drama,Wilson Yip,"Yuk Long Wong, Louis Koo, Isabella Leong, Ella Koon"
Dead Fury,Action|Animation|Comedy|Horror,Frank Sudol,Frank Sudol
Saving Santa,Animation|Children|Comedy,"Leon Joosen, Aaron Seelman","Newell Alexander, Noel Clarke, Joan Collins, Tim Conway"
Blue State,Comedy,Marshall Lewy,"Breckin Meyer, Anna Paquin, Joyce Krenz, Richard Blackburn"
Interview,Drama,Steve Buscemi,"Steve Buscemi, Sienna Miller, Michael Buscemi, Tara Elders"
"Not Quite Hollywood: The Wild, Untold Story of Ozploitation!",Documentary,Mark Hartley,"Phillip Adams, Glory Annen, Christine Amor, Victoria Anoux"
Henry's Crime,Comedy|Crime,Malcolm Venville,"Keanu Reeves, Judy Greer, Fisher Stevens, Danny Hoch"
Kung Fu Jungle,Action|Crime|Thriller,Teddy Chan,"Donnie Yen, Baoqiang Wang, Charlie Yeung, Bing Bai"
For the Love of Spock,Documentary,Adam Nimoy,"Zoe Saldana, Chris Pine, Karl Urban, Simon Pegg"
Kickboxer: Vengeance,Action|Drama,John Stockwell,"Alain Moussi, Georges St-Pierre, T.J. Storm, Matthew Ziff"
Christine,Drama,John Carpenter,"Keith Gordon, John Stockwell, Alexandra Paul, Robert Prosky"
Silicon Cowboys,Documentary,Jason Cohen,"Rod Canion, Jim Harris, Bill Murto"
Mascots,Comedy,Christopher Guest,"Zach Woods, Wayne Wilderson, Sarah Baker, Michael Hitchcock"
Patient Seven,Horror,"Danny Draven, Paul Davis, Ómar Örn Hauksson, Dean Hewison, Joel Morgan, Johannes Persson, Nicholas Peterson, Erlingur Thoroddsen, Rasmus Wassberg","Michael Ironside, Jack Plotnick, Drew Fonteiro, Rane Jameson"
The Rocky Horror Picture Show: Let's Do the Time Warp Again,Comedy|Horror|Sci-Fi|Thriller,Kenny Ortega,"Ivy Levan, Victoria Justice, Staz Nair, Christina Milian"
Aprile,Comedy,Nanni Moretti,"Nanni Moretti, Silvio Orlando, Silvia Nono, Pietro Moretti"
Wild Grass,Drama|Romance,Alain Resnais,"Sabine Azéma, André Dussollier, Anne Consigny, Emmanuelle Devos"
Rapt,Drama,Lucas Belvaux,"Yvan Attal, Anne Consigny, André Marcon, Françoise Fabian"
Freedom Downtime,Adventure|Crime|Documentary,Emmanuel Goldstein,"Mark Abene, Ed Cummings, Robert Darlington, Emmanuel Goldstein"
Nanga Parbat,Adventure|Drama,Joseph Vilsmaier,"Florian Stetter, Andreas Tobias, Karl Markovics, Steffen Schroeder"
Texas - Doc Snyder hält die Welt in Atem,Comedy|Western,"Ralf Huettner, Helge Schneider","Helge Schneider, Peter Thoms, Buddy Casino, Andreas Kunze"
00 Schneider - Jagd auf Nihil Baxter,Comedy|Crime,Helge Schneider,"Helge Schneider, Helmut Körschgen, Andreas Kunze, Werner Abrolat"
Praxis Dr. Hasenbein,Comedy,Helge Schneider,"Helge Schneider, Peter Berling, Andreas Kunze, Horst Mendroch"
Catfish in Black Bean Sauce,Comedy|Drama,Chi Muoi Lo,"Chi Muoi Lo, Sanaa Lathan, Paul Winfield, Mary Alice"
Year of the Comet,Action|Adventure|Comedy|Romance,Peter Yates,"Penelope Ann Miller, Tim Daly, Louis Jourdan, Art Malik"
Vampire Journals,Fantasy|Horror,Ted Nicolaou,"Jonathon Morris, David Gunn, Kirsten Cerre, Starr Andreeff"
Desperate Hours,Crime|Drama|Thriller,Michael Cimino,"Mickey Rourke, Anthony Hopkins, Mimi Rogers, Lindsay Crouse"
Breaking News,Action|Crime|Drama,Johnnie To,"Richie Jen, Kelly Chen, Nick Cheung, Siu-Fai Cheung"
Frostbitten,Comedy|Horror,Anders Banke,"Petra Nielsen, Carl-Åke Eriksson, Grete Havnesköld, Emma Åberg"
Flight of Fury,Action,Michael Keusch,"Steven Seagal, Steve Toussaint, Angus MacInnes, Mark Bazeley"
Raging Phoenix,Action|Romance,Rashane Limtrakul,"JeeJa Yanin, Kazu Patrick Tang, Nui Saendaeng, Sompong Leartvimolkasame"
Space Battleship Yamato,Action|Adventure|Drama,Takashi Yamazaki,"Takuya Kimura, Meisa Kuroki, Toshirô Yanagiba, Naoto Ogata"
Firequake,Action|Sci-Fi|Thriller,Geoff Browne,"Alexandra Paul, Zoe Barker, Nigel Barber, James Weber Brown"
Addicted to Fresno,Comedy,Jamie Babbit,"Judy Greer, Natasha Lyonne, Malcolm Barrett, Jessica St. Clair"
King of the Jungle,Drama|Thriller,Seth Zvi Rosenfeld,"John Leguizamo, Rosie Perez, Julie Carmen, Cliff Gorman"
Synchronicity,Mystery|Sci-Fi|Thriller,Jacob Gentry,"Chad McKnight, Brianne Davis, AJ Bowen, Scott Poythress"
The Major,Action|Crime|Drama,Yuriy Bykov,"Denis Shvedov, Yuriy Bykov, Irina Nizina, Ilya Isaev"
Dear Dumb Diary,Children,Kristin Hanggi,"Emily Alyn Lind, Mary-Charles Jones, David Mazouz, Sterling Griffith"
Eden,Drama|Romance,Megan Griffiths,"Jamie Chung, Beau Bridges, Matt O'Leary, Eddie Martinez"
Our Life,Drama,Ricki Bedenbaugh,"Dave Bachinsky, Bob Burnquist, Rune Glifberg, Greg Lutzka"
Fateful Findings,Drama|Fantasy|Thriller,Neil Breen,"Neil Breen, Klara Landrat, Jennifer Autry, Victoria Viveiros"
Hannibal Buress: Comedy Camisado,Comedy,Lance Bangs,"Hannibal Buress, Al Jackson, Dan Steinhaus, Tony Trimm"
Kokowääh,Comedy,Til Schweiger,"Numan Acar, Meret Becker, Gode Benedix, Anne-Sophie Briest"
Trouble Every Day,Drama|Horror|Thriller,Claire Denis,"Vincent Gallo, Tricia Vessey, Béatrice Dalle, Alex Descas"
Life,Drama,Daniel Espinosa,"Hiroyuki Sanada, Ryan Reynolds, Rebecca Ferguson, Jake Gyllenhaal"
The Letters,Drama,William Riead,"Juliet Stevenson, Max von Sydow, Rutger Hauer, Priya Darshini"
